wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,dis,direction
340,356,260,244,0,0,1,0,,,,,254.05511213120667,2
348,364,252,236,0,0,1,0,,,,,242.98148077579904,2
356,372,244,228,0,0,1,0,,,,,231.93102422918759,2
364,380,236,220,0,0,1,0,,,,,220.90722034374522,2
372,388,228,212,0,0,1,0,,,,,209.91426821443082,2
380,396,220,204,0,0,1,0,,,,,198.9572818471342,2
388,404,212,196,0,0,1,0,,,,,188.04254837669055,2
396,412,204,188,0,0,1,0,,,,,177.17787672280082,2
404,420,196,180,0,0,1,0,,,,,166.37307474468338,2
412,428,188,172,0,0,1,0,,,,,155.64061166674975,2
420,436,180,164,0,0,1,0,,,,,144.99655168313487,2
428,444,172,156,0,0,1,0,,,,,134.46189051177288,2
436,452,164,148,0,0,1,0,,,,,124.06449935416659,2
444,460,156,140,0,0,1,0,,,,,113.84199576606166,2
452,468,148,132,0,0,1,0,,,,,103.84603988597736,2
460,476,140,124,0,0,1,0,,,,,94.14881836751856,2
468,484,132,116,0,0,1,0,,,,,84.8528137423857,2
476,492,124,108,0,0,1,0,,,,,76.10519036176179,2
484,500,116,100,0,0,1,0,,,,,68.11754546370561,2
492,500,108,100,0,0,1,0,1.0,0.0,0.0,0.0,60.13318551349163,2
500,500,100,100,0,0,1,0,1.0,0.0,0.0,0.0,52.15361924162119,2
508,500,92,100,0,0,1,0,1.0,0.0,0.0,0.0,44.181444068749045,2
516,500,84,100,0,0,1,0,1.0,0.0,0.0,0.0,36.22154055254967,2
524,500,76,100,1,0,0,0,1.0,0.0,0.0,0.0,402.5916044827562,0
516,492,84,108,1,0,0,0,0.0,0.0,0.0,1.0,391.95918154828314,0
508,484,92,116,1,0,0,0,0.0,0.0,0.0,1.0,381.3659659696969,0
500,476,100,124,1,0,0,0,0.0,0.0,0.0,1.0,370.81531791445724,0
492,468,108,132,1,0,0,0,,,,,360.31097679643347,0
484,460,116,140,1,0,0,0,,,,,349.85711369071805,0
476,452,124,148,1,0,0,0,,,,,339.45839214843403,0
468,444,132,156,1,0,0,0,,,,,329.1200388915874,0
460,436,140,164,1,0,0,0,,,,,318.84792613407416,0
452,428,148,172,1,0,0,0,,,,,308.6486675817668,0
444,420,156,180,1,0,0,0,,,,,298.52973051272465,0
436,412,164,188,1,0,0,0,,,,,288.4995667241114,0
428,404,172,196,1,0,0,0,,,,,278.5677655436824,0
420,396,180,204,1,0,0,0,,,,,268.7452325158532,0
412,388,188,212,1,0,0,0,,,,,259.04439773907484,0
404,380,196,220,1,0,0,0,,,,,249.47945807220282,0
396,372,204,228,1,0,0,0,,,,,240.06665740997852,0
388,364,212,236,1,0,0,0,,,,,230.82460874005614,0
380,356,220,244,1,0,0,0,,,,,221.7746604100658,0
372,348,228,252,1,0,0,0,,,,,212.94130646729863,0
364,340,236,260,1,0,0,0,,,,,204.35263639111682,0
356,332,244,268,1,0,0,0,,,,,196.04081207748553,2
356,324,244,276,1,0,0,0,0.0,0.0,0.0,1.0,188.04254837669055,2
356,316,244,284,1,0,0,0,0.0,0.0,0.0,1.0,180.0444389588304,2
356,308,244,292,1,0,0,0,0.0,0.0,0.0,1.0,172.04650534085255,2
356,300,244,300,1,0,0,0,0.0,0.0,0.0,1.0,164.04877323527901,2
356,292,244,308,1,0,0,0,0.0,0.0,0.0,1.0,156.05127362504928,2
356,284,244,316,1,0,0,0,0.0,0.0,0.0,1.0,148.05404418657398,2
356,276,244,324,1,0,0,0,0.0,0.0,0.0,1.0,140.05713120009278,2
356,268,244,332,1,0,0,0,0.0,0.0,0.0,1.0,132.06059215375342,2
356,260,244,340,1,0,0,0,0.0,0.0,0.0,1.0,124.06449935416659,2
356,252,244,348,1,0,0,0,0.0,0.0,0.0,1.0,116.06894502837527,2
356,244,244,356,1,0,0,0,0.0,0.0,0.0,1.0,108.07404868885037,2
356,236,244,364,1,0,0,0,0.0,0.0,0.0,1.0,100.07996802557443,2
356,228,244,372,1,0,0,0,0.0,0.0,0.0,1.0,92.0869154657707,2
356,220,244,380,1,0,0,0,0.0,0.0,0.0,1.0,84.09518416651456,2
356,212,244,388,1,0,0,0,0.0,0.0,0.0,1.0,76.10519036176179,2
356,204,244,396,1,0,0,0,0.0,0.0,0.0,1.0,68.11754546370561,2
356,196,244,404,1,0,0,0,0.0,0.0,0.0,1.0,60.13318551349163,2
356,188,244,412,1,0,0,0,0.0,0.0,0.0,1.0,52.15361924162119,2
356,180,244,420,1,0,0,0,0.0,0.0,0.0,1.0,44.181444068749045,2
356,172,244,428,1,0,0,0,0.0,0.0,0.0,1.0,36.22154055254967,2
356,164,244,436,0,0,1,0,0.0,0.0,0.0,1.0,333.94610343586885,2
364,172,236,428,0,0,1,0,1.0,0.0,0.0,0.0,323.82711436814554,2
372,180,228,420,0,0,1,0,1.0,0.0,0.0,0.0,313.789738519283,2
380,188,220,412,0,0,1,0,1.0,0.0,0.0,0.0,303.84206423732707,2
388,196,212,404,0,0,1,0,,,,,293.99319720020736,2
396,204,204,396,0,0,1,0,,,,,284.2534080710379,2
404,212,196,388,0,0,1,0,,,,,274.63430230034993,2
412,220,188,380,0,0,1,0,,,,,265.1490147068248,2
420,228,180,372,0,0,1,0,,,,,255.8124312851117,2
428,236,172,364,0,0,1,0,,,,,246.64144015148793,2
436,244,164,356,0,0,1,0,,,,,237.65521244020718,2
444,252,156,348,0,0,1,0,,,,,228.87551201471948,2
452,260,148,340,0,0,1,0,,,,,220.32702966272657,2
460,268,140,332,0,0,1,0,,,,,212.03773249117714,2
468,276,132,324,1,0,0,0,,,,,204.0392119177096,2
468,284,132,316,1,0,0,0,0.0,1.0,0.0,0.0,196.04081207748553,2
468,292,132,308,1,0,0,0,0.0,1.0,0.0,0.0,188.04254837669055,2
468,300,132,300,1,0,0,0,0.0,1.0,0.0,0.0,180.0444389588304,2
468,308,132,292,1,0,0,0,0.0,1.0,0.0,0.0,172.04650534085255,2
468,316,132,284,1,0,0,0,0.0,1.0,0.0,0.0,164.04877323527901,2
468,324,132,276,1,0,0,0,0.0,1.0,0.0,0.0,156.05127362504928,2
468,332,132,268,1,0,0,0,0.0,1.0,0.0,0.0,148.05404418657398,2
468,340,132,260,1,0,0,0,0.0,1.0,0.0,0.0,140.05713120009278,2
468,348,132,252,1,0,0,0,0.0,1.0,0.0,0.0,132.06059215375342,2
468,356,132,244,1,0,0,0,0.0,1.0,0.0,0.0,124.06449935416659,2
468,364,132,236,1,0,0,0,0.0,1.0,0.0,0.0,116.06894502837527,2
468,372,132,228,1,0,0,0,0.0,1.0,0.0,0.0,108.07404868885037,2
468,380,132,220,1,0,0,0,0.0,1.0,0.0,0.0,100.07996802557443,2
468,388,132,212,1,0,0,0,0.0,1.0,0.0,0.0,92.0869154657707,2
468,396,132,204,1,0,0,0,0.0,1.0,0.0,0.0,84.09518416651456,2
468,404,132,196,1,0,0,0,0.0,1.0,0.0,0.0,76.10519036176179,2
468,412,132,188,1,0,0,0,0.0,1.0,0.0,0.0,68.11754546370561,2
468,420,132,180,1,0,0,0,0.0,1.0,0.0,0.0,60.13318551349163,2
468,428,132,172,1,0,0,0,0.0,1.0,0.0,0.0,52.15361924162119,2
468,436,132,164,1,0,0,0,0.0,1.0,0.0,0.0,44.181444068749045,2
468,444,132,156,1,0,0,0,0.0,1.0,0.0,0.0,36.22154055254967,2
468,452,132,148,1,0,0,0,0.0,1.0,0.0,0.0,134.46189051177288,0
460,444,140,156,1,0,0,0,0.0,0.0,1.0,0.0,124.06449935416659,0
452,436,148,164,1,0,0,0,0.0,0.0,1.0,0.0,113.84199576606166,0
444,428,156,172,1,0,0,0,0.0,0.0,1.0,0.0,103.84603988597736,0
436,420,164,180,1,0,0,0,0.0,0.0,1.0,0.0,94.14881836751856,0
428,412,172,188,1,0,0,0,,,,,84.8528137423857,0
420,404,180,196,1,0,0,0,,,,,76.10519036176179,3
412,404,188,196,1,0,0,0,0.0,0.0,1.0,0.0,68.11754546370561,3
404,404,196,196,1,0,0,0,0.0,0.0,1.0,0.0,60.13318551349163,3
396,404,204,196,1,0,0,0,0.0,0.0,1.0,0.0,52.15361924162119,3
388,404,212,196,1,0,0,0,0.0,0.0,1.0,0.0,44.181444068749045,3
380,404,220,196,1,0,0,0,0.0,0.0,1.0,0.0,36.22154055254967,3
372,404,228,196,1,0,0,0,0.0,0.0,1.0,0.0,366.824208579532,0
364,396,236,204,1,0,0,0,,,,,356.20218977429096,0
356,388,244,212,1,0,0,0,,,,,345.6240732356472,0
348,380,252,220,1,0,0,0,,,,,335.094016658012,0
340,372,260,228,1,0,0,0,,,,,324.6166970443757,0
332,364,268,236,1,0,0,0,,,,,314.1973901864877,0
324,356,276,244,1,0,0,0,,,,,303.84206423732707,0
316,348,284,252,1,0,0,0,,,,,293.55749011054036,0
308,340,292,260,1,0,0,0,,,,,283.3513719747974,0
300,332,300,268,1,0,0,0,,,,,273.23250172700904,0
292,324,308,276,1,0,0,0,,,,,263.21094202179364,0
284,316,316,284,1,0,0,0,,,,,253.29824318380102,0
276,308,324,292,1,0,0,0,,,,,243.50770008359078,0
268,300,332,300,1,0,0,0,,,,,233.85465571589546,0
260,292,340,308,1,0,0,0,,,,,224.35685859808254,0
252,284,348,316,1,0,0,0,,,,,215.0348808914498,0
244,276,356,324,1,0,0,0,,,,,205.91260281974002,0
236,268,364,332,1,0,0,0,,,,,197.01776569639603,0
228,260,372,340,1,0,0,0,,,,,188.38258942906586,0
220,252,380,348,1,0,0,0,,,,,180.0444389588304,2
220,244,380,356,1,0,0,0,0.0,0.0,0.0,1.0,172.04650534085255,2
220,236,380,364,1,0,0,0,0.0,0.0,0.0,1.0,164.04877323527901,2
220,228,380,372,1,0,0,0,0.0,0.0,0.0,1.0,156.05127362504928,2
220,220,380,380,1,0,0,0,0.0,0.0,0.0,1.0,148.05404418657398,2
220,212,380,388,1,0,0,0,0.0,0.0,0.0,1.0,140.05713120009278,2
220,204,380,396,1,0,0,0,0.0,0.0,0.0,1.0,132.06059215375342,2
220,196,380,404,1,0,0,0,0.0,0.0,0.0,1.0,124.06449935416659,2
220,188,380,412,1,0,0,0,0.0,0.0,0.0,1.0,116.06894502837527,2
220,180,380,420,1,0,0,0,0.0,0.0,0.0,1.0,108.07404868885037,2
220,172,380,428,1,0,0,0,0.0,0.0,0.0,1.0,100.07996802557443,2
220,164,380,436,1,0,0,0,0.0,0.0,0.0,1.0,92.0869154657707,2
220,156,380,444,1,0,0,0,0.0,0.0,0.0,1.0,84.09518416651456,2
220,148,380,452,1,0,0,0,0.0,0.0,0.0,1.0,76.10519036176179,2
220,140,380,460,1,0,0,0,0.0,0.0,0.0,1.0,68.11754546370561,2
220,132,380,468,1,0,0,0,0.0,0.0,0.0,1.0,60.13318551349163,2
220,124,380,476,1,0,0,0,0.0,0.0,0.0,1.0,52.15361924162119,2
220,116,380,484,1,0,0,0,0.0,0.0,0.0,1.0,44.181444068749045,2
220,108,380,492,1,0,0,0,0.0,0.0,0.0,1.0,36.22154055254967,2
220,100,380,500,0,0,1,0,0.0,0.0,0.0,1.0,73.53910524340094,2
228,108,372,492,0,0,1,0,1.0,0.0,0.0,0.0,63.245553203367585,2
236,116,364,484,0,0,1,0,1.0,0.0,0.0,0.0,53.36665625650534,2
244,124,356,476,0,0,1,0,1.0,0.0,0.0,0.0,44.181444068749045,2
252,132,348,468,1,0,0,0,1.0,0.0,0.0,0.0,36.22154055254967,2
252,140,348,460,0,0,1,0,0.0,1.0,0.0,0.0,53.36665625650534,2
260,132,340,468,0,0,1,0,1.0,0.0,0.0,0.0,44.181444068749045,2
268,132,332,468,0,0,1,0,1.0,0.0,0.0,0.0,36.22154055254967,2
276,132,324,468,1,0,0,0,1.0,0.0,0.0,0.0,124.57929201917949,3
268,140,332,460,1,0,0,0,0.0,1.0,0.0,0.0,116.06894502837527,2
268,148,332,452,1,0,0,0,0.0,1.0,0.0,0.0,108.07404868885037,2
268,156,332,444,1,0,0,0,0.0,1.0,0.0,0.0,100.07996802557443,2
268,164,332,436,1,0,0,0,0.0,1.0,0.0,0.0,92.0869154657707,2
268,172,332,428,1,0,0,0,0.0,1.0,0.0,0.0,84.09518416651456,2
268,180,332,420,1,0,0,0,0.0,1.0,0.0,0.0,76.10519036176179,2
268,188,332,412,1,0,0,0,0.0,1.0,0.0,0.0,68.11754546370561,2
268,196,332,404,1,0,0,0,0.0,1.0,0.0,0.0,60.13318551349163,2
268,204,332,396,1,0,0,0,0.0,1.0,0.0,0.0,52.15361924162119,2
268,212,332,388,1,0,0,0,0.0,1.0,0.0,0.0,44.181444068749045,2
268,220,332,380,1,0,0,0,0.0,1.0,0.0,0.0,36.22154055254967,2
268,228,332,372,1,0,0,0,0.0,1.0,0.0,0.0,316.6322788346128,3
260,236,340,364,1,0,0,0,,,,,305.9411708155671,3
252,244,348,356,1,0,0,0,,,,,295.296461204668,3
244,252,356,348,1,0,0,0,,,,,284.70335438838794,3
236,260,364,340,1,0,0,0,,,,,274.1678318111007,3
228,268,372,332,1,0,0,0,,,,,263.69679558159214,3
220,276,380,324,1,0,0,0,,,,,253.29824318380102,3
212,284,388,316,1,0,0,0,,,,,242.98148077579904,3
204,292,396,308,1,0,0,0,,,,,232.75738441561847,3
196,300,404,300,1,0,0,0,,,,,222.63872080121195,3
188,308,412,292,1,0,0,0,,,,,212.6405417600322,3
180,316,420,284,1,0,0,0,,,,,202.78066969018522,3
172,324,428,276,1,0,0,0,,,,,193.08029417835473,3
164,332,436,268,1,0,0,0,,,,,183.56470248934025,3
156,340,444,260,1,0,0,0,,,,,174.26416728633572,3
148,348,452,252,1,0,0,0,,,,,165.21501142450705,3
140,356,460,244,1,0,0,0,,,,,156.46085772486356,3
132,364,468,236,1,0,0,0,,,,,148.05404418657398,2
132,372,468,228,1,0,0,0,0.0,1.0,0.0,0.0,140.05713120009278,2
132,380,468,220,1,0,0,0,0.0,1.0,0.0,0.0,132.06059215375342,2
132,388,468,212,1,0,0,0,0.0,1.0,0.0,0.0,124.06449935416659,2
132,396,468,204,1,0,0,0,0.0,1.0,0.0,0.0,116.06894502837527,2
132,404,468,196,1,0,0,0,0.0,1.0,0.0,0.0,108.07404868885037,2
132,412,468,188,1,0,0,0,0.0,1.0,0.0,0.0,100.07996802557443,2
132,420,468,180,1,0,0,0,0.0,1.0,0.0,0.0,92.0869154657707,2
132,428,468,172,1,0,0,0,0.0,1.0,0.0,0.0,84.09518416651456,2
132,436,468,164,1,0,0,0,0.0,1.0,0.0,0.0,76.10519036176179,2
132,444,468,156,1,0,0,0,0.0,1.0,0.0,0.0,68.11754546370561,2
132,452,468,148,1,0,0,0,0.0,1.0,0.0,0.0,60.13318551349163,2
132,460,468,140,1,0,0,0,0.0,1.0,0.0,0.0,52.15361924162119,2
132,468,468,132,1,0,0,0,0.0,1.0,0.0,0.0,44.181444068749045,2
132,476,468,124,1,0,0,0,0.0,1.0,0.0,0.0,36.22154055254967,2
132,484,468,116,0,0,1,0,0.0,1.0,0.0,0.0,378.16398559355173,2
140,476,460,124,0,0,1,0,1.0,0.0,0.0,0.0,368.91191360540256,2
148,468,452,132,0,0,1,0,1.0,0.0,0.0,0.0,359.7777091483017,2
156,460,444,140,0,0,1,0,1.0,0.0,0.0,0.0,350.77058029430003,2
164,452,436,148,0,0,1,0,1.0,0.0,0.0,0.0,341.90057034172963,2
172,444,428,156,0,0,1,0,1.0,0.0,0.0,0.0,333.1786307673408,2
180,436,420,164,0,0,1,0,1.0,0.0,0.0,0.0,324.6166970443757,2
188,428,412,172,0,0,1,0,1.0,0.0,0.0,0.0,316.22776601683796,2
196,420,404,180,0,0,1,0,,,,,308.0259729308553,2
204,420,396,180,0,0,1,0,1.0,0.0,0.0,0.0,300.0266654815868,2
212,420,388,180,0,0,1,0,1.0,0.0,0.0,0.0,292.0273959751037,2
220,420,380,180,0,0,1,0,1.0,0.0,0.0,0.0,284.0281676172277,2
228,420,372,180,0,0,1,0,1.0,0.0,0.0,0.0,276.02898398537786,2
236,420,364,180,0,0,1,0,1.0,0.0,0.0,0.0,268.02984908401527,2
244,420,356,180,0,0,1,0,1.0,0.0,0.0,0.0,260.0307674103201,2
